Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
#1 Bear,Bear,5,$1200- 4000,$650-1800,$225-500,None,253 Ty Reps/Buyers will pay more if it includes the original box and planner.
#1 Teacher,Bear,13,$6-10,$1-5,$1-3,44054,Ty Store
123's,Bear,15,$3-8,$1-5,$1-3,40655,
1997 Teddy (Holiday),Bear,4,$2-10,$1-3,$1,4200,
1998 Holiday Teddy,Bear,5,$2-10,$1-3,$1,4204,
1999 Holiday Teddy,Bear,5,$2-10,$1-3,$1,4257,
1999 Signature Bear,Bear,5,$2-10,$1-3,$1,4228,
2000 Holiday Teddy,Bear,"6,7",$2-10,$1-3,$1,4332,
2000 Signature Bear,Bear,"6,7",$2-10,$1-3,$1,4266,
2001 Holiday Teddy,Bear,"7,9",$2-10,$1-3,$1,4395,
2001 Signature Bear,Bear,"7,9",$2-10,$1-3,$1,4375,
2002 Holiday Teddy,Bear,"7,10",$2-10,$1-3,$1,4564,
2002 Signature Bear,Bear,"7,10",$2-10,$1-3,$1,4565,
2003 Holiday Teddy,Bear,"7,11",$2-10,$1-3,$1,40028,
2003 Signature Bear,Bear,"7,11",$2-10,$1-3,$1,40011,
2004 Holiday Teddy,Bear,12,$2-10,$1-3,$1,40139,
2004 Signature Bear,Bear,12,$2-10,$1-3,$1,40158,
2005 Holiday Teddy,Bear,13,$2-10,$1-3,$1,40274,
2005 Signature Bear,Bear,13,$2-10,$1-3,$1,40285,
2006 (New Year's Bear),Bear,13,$2-10,$1-3,$1,44064,Ty Store
2006 Holiday Teddy,Bear,14,$2-10,$1-3,$1,40443,
2006 Signature Bear,Bear,14,$2-10,$1-3,$1,40458,
2006 Zodiac Dog,Dog: Sheepdog,13,$25-55,$9-20,$1-10,46051,Asia-Paci c
2007 (New Year's Bear),Bear,14,$2-10,$1-3,$1,44096,Ty Store
2007 Holiday Teddy (green),Bear,15,$2-10,$1-5,$1,40705,
2007 Holiday Teddy (red),Bear,15,$2-10,$1-5,$1,40705,
2007 Signature Bear,Bear,15,$2-10,$1-3,$1,40721,
2007 Zodiac Pig,Pig,14,$30-65,$9-20,$1-10,46088,Asia-Paci c
2008 (New Year's Bear),Bear,15,$4-12,$2-5,$1,44122,Ty Store
2008 Holiday Teddy,Bear,15,$2-10,$1-3,$1,40753,
2008 Zodiac Rat,Rat,15,$30-55,$9-20,$1-10,46122,Asia-Paci c
4-H,Bear,13,$2-7,$1-3,$1,40278,USA
A (A beanie),Bear,Alphabet,$1-3,$1,$1,40501,
ABC's,Bear,15,$2-6,$1-3,$1,40655,
Ace (Dog),Dog,19,$6-10,$3-5,$1-2,40544,
Aces,Bear,14,$6-14,$1-5,$1,40380,Las Vegas/Carlton cards
Aces (with extra tag),Bear,14,$25-40,$10-20,$1,40380,Knott's Berry Farm
Addison (red ribbon outside),Bear,8,$1-5,$1-3,$1,4362,
Addison (white ribbon outside),Bear,8,$1-5,$1-3,$1,4362,
Admiral,Penguin,14,$2-10,$1-5,$1-2,40392,
Admiral (extra tag),Penguin,14,$18-35,$8-12,$1,40392,Santa Barbara Zoo
Adonis,Dog: Valentine,BBOM,$4-10,$1-3,$1,48409,BBOM
Adore,Bear,13,$3-10,$1-3,$1,44043,Ty Store
Ai,Bear,11,$3-10,$2-5,$1,4628,Japan
Ai Motomachi,Bear,11,$55- 130,$18-25,$6-12,4628,Ty Store Japan / High value was authenticated
Alabama,Bear,13,$2-5,$1 -3,$1,40318,
Alabama (Ty Store),Bear,13,$2-5,$1-3,$1,44077,Ty Store
Alacazam,Dog: Halloween,17,$8-12,$1-3,$1,40847,
Alana,Bear,14,$7-12,$2-5,$1,40368,
Alani,Bear,BBOM,$1-3,$1-2,$1,48402,BBOM
Alberta Wild Rose,Bear,13,$5-15,$1-3,$1,46035,Trade Show
Alex,Madagascar,15,$8-15,$1-5,$1,40756,
Allegro,Duck,14,$7-12,$2-4,$1,40341,
All-Star Dad,Bear,14,$4-7,$1-3,$1,40359,
Ally,Alligator,1,$600- 1400,$150- 500,$1-5,4032,Authenticated is the higher side
Ally,Alligator,2,$100- 350,$60- 150,$1-5,4032,Authenticated is the higher side
Ally,Alligator,3,$65- 125,$12-40,$1-5,4032,1st gen tush tag / Authenticated is the higher side
Ally,Alligator,3,$30-60,$12-30,$1-5,4032,2nd gen tush tag / Authenticated is the higher side
Ally,Alligator,4,$3-7,$1-3,$1,4032,
Almond,Bear,5,$3-7,$1-3,$1,4246,
Alpha Key-clip,Bear,14 sm,$5-8,$2-5,$1,46063,Angel Flight Aus.
Alps,Dog: St. Bernard,BBOM,$3-8,$1-3,$1,48404,BBOM
Alvin,Alvin & Chipmunks,15,$9-20,$3-7,$1-5,40799,
"Alvin (Santa, red)",Alvin & Chipmunks,"18, 19",$10-25,$3-7,$1-3,40935,known dealers are getting more $$$
Alvin (with Alvin & Chipmunks DVD),Alvin & Chipmunks,15,$15-25,$9-15,$5-10,47113,DVD store
Always,Bear,12,$5-9,$1-3,$1,40161,
Always (extra FTD tag),Bear,12,$35-45,$12-18,$1,40161,FTD Promo
Amber,Cat,5,$2-5,$1-2,$1,4243,
America (Blue),Bear,"7,9",$5-8,$1,$1,4506,
America (Blue) Japanese Writing,Bear,9,$7-14,$1,$1,4506,Japan
America (Red reversed ears),Bear,10,$25-35,$9-14,$2-5,4412,Ty Store
America (Red with blue right ear),Bear,10,$4-7,$1-3,$1,4412,Ty Store
America (White reversed ears),Bear,10,$2-6,$1-3,$1,4409,Ty Store
America (White with blue right ear),Bear,10,$2-6,$1-3,$1,4409,Ty Store
American,Eagle,15,$4-8,$1-3,$1,40624,
American Blessing,Bear,13,$3-6,$1-3,$1,40238,
American Blessing (with extra tag),Bear,13,$19-25,$7-15,$1,40238,Knott's Berry Farm
Amigo,Dog,11,$3-5,$1-3,$1,4422,Ty Store
Amora,Bear: Valentine,19,$4-8,$1-3,$1,42281,CVS Store
Amore,Dog: Valentine,17,$3-8,$1-3,$2,40886,
Anchor,Whale,14,$5-9,$1-3,$1,40395,
Angel,Moshi Monsters,18,$11-15,$2-5,$1-3,46194,UK exclusive - sell for more in the USA
Angel Key-clip,Moshi Monsters,19 sm,$15-25,$3-7,$1-3,46215,UK exclusive - sell for more in the USA
Anna (The Beanie Babies Collection inside hang tag),Frozen II,Sparkle,$9-12,$3-5,$1-3,2306,"~ 15"" Others in set are The Buddies Collection Inside hang tag"
Ants,Anteater,5,$1-5,$1,$1,4195,
Aotearoa black nose,Bear,13,$20-30,$5-10,$2-5,46044,Asia-Paci c - do not sell on auction. Patience is key with this one.
Aotearoa ag nose,Bear,13,$350- 800,$90- 200,$35- 100,46044,New Zealand - higher side is authenticated
Applejack,My Little Pony,19,$2-5,$1,$1,41013,
Applejack Key-clip,My Little Pony,19 sm,$3-6,$1,$1,41101,
Applejack (Sparkle),My Little Pony,Sparkle,$3-6,$2,$1,41013,Sparkly stands of hair
Applejack Key-clip (Sparkle),My Little Pony,Sparkle,$3-6,$2,$1,41101,Sparkly stands of hair
April (neck ru e),Bear,Birthday,$1-4,$1,$1,4391,
April (party hat),Bear,Birthday,$2-5,$1,$1,4555,
April Fool,Bear,15,$8-15,$2-5,$1-3,44102,Ty Store
Arabesque,Lamb,14,$1-5,$1-3,$1,40339,
